"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","@regression Empty value for 'city' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","169","@regression Empty form data returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","3885","Login fails with wrong password @regression","firefox","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","11675","User cannot register with existing email @e2e @regression","webkit","2026-06-23","passed","2026-06-23","Register tests @ui @register","ui/registerTests.spec.ts","",""
"","75","@regression POST /productsList returns 405 in response body","api","2026-06-23","passed","2026-06-23","@api @products Products API - /productsList","api/productsApiTests.spec.ts","",""
"","6915","User created via API can login and delete account via UI @smoke","webkit","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","211","@regression Missing parameter 'firstname' returns 400","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","179","@regression Empty value for 'zipcode' returns 201","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","77","@regression POST /searchProduct with invalid symbols ""@#?"" returns empty list","api","2026-06-23","passed","2026-06-23","@api @search Search Product API - /searchProduct","api/searchProductApiTests.spec.ts","",""
"","3701","Login fails with uppercase email @regression","webkit","2026-06-23","passed","2026-06-23","@ui @api @e2e User Login & Deletion Flow (API → UI)","ui/userFlows.spec.ts","",""
"","606","@smoke User can create account successfully with valid data","api","2026-06-23","passed","2026-06-23","@api @createAccount Create Account API - /createAccount","api/createAccountApiTests.spec.ts","",""
"","247","@regression Retrieving account details without parameters returns 400","api","2026-06-23","passed","2026-06-23","@api Get User Detail API - /getUserDetailByEmail","api/userAccountTests.spec.ts","",""
